SDSS,z,logMbh [Msun],Msph [Msun]
J143010.83+572202.0,0.111,6.2,8.02E+09
J143310.54+525830.5,0.0475,6.2,2.26E+09
J143552.31+341345.5,0.0448,5.5,5.13E+08
J143713.54+545818.6,0.0933,6.2,5.97E+09
J144249.70+611137.7,0.0478,6.3,2.21E+09
J150648.85+341306.7,0.088,6,4.20E+09
J153425.59+040806.7,0.0395,4.8,2.06E+08
J154623.62+475122.2,0.103,6.1,3.31E+09
J160044.99+505213.5,0.1,6.1,4.46E+09
J161751.98-001957.4,0.057,5.7,5.23E+08
J162147.74+343619.1,0.121,5.7,
J162403.63-005410.3,0.0465,6.1,2.82E+09
J162542.15-004330.2,0.122,6.2,2.06E+09
J162636.40+350242.0,0.0341,5.5,7.10E+09
J163159.59+243740.2,0.0433,5.3,4.16E+09
J165636.98+371439.5,0.0626,6.3,6.14E+09
J170812.29+601512.6,0.145,6.2,1.59E+10
J205822.14-065004.3,0.0737,6.1,6.31E+09
J212429.10+010621.6,0.135,6.2,1.20E+10
J213728.62-083823.3,0.161,6.3,6.56E+09
J220757.44-001005.4,0.175,6.1,7.01E+09
J221139.16-010535.0,0.0926,6.3,2.96E+09
J223811.33+143343.4,0.156,6.2,4.45E+09
J225630.07+141020.7,0.151,6.4,1.17E+10
J235835.22+002006.3,0.187,6,7.69E+09
