3.16813158E9	2.1726108
3.98668928E9	2.1618602
4.9272586E9	2.1260636
6.1717975E9	2.2165809
7.6967429E9	2.205537
1.07906611E10	2.273738
1.41395354E10	2.3434455
1.803281E10	2.4576814
2.15920886E10	2.5768683
2.55070884E10	2.6859808
3.08177019E10	2.832814
3.7570568E10	3.0052578
4.3587056E10	3.2250087
5.0115338E10	3.400668
5.7879331E10	3.6492696
6.5064821E10	3.870221
7.2813527E10	4.10448
8.1118691E10	4.3528433
8.9966043E10	4.5893044
9.9777028E10	4.866922
1.11661162E11	5.131485
1.25516816E11	5.57067
1.39201004E11	5.976986
1.60764248E11	6.4514537
1.76694002E11	6.881511
2.10582094E11	7.783598
2.55520555E11	9.012417
3.21429471E11	10.436663
4.15326306E11	13.347458
4.92769313E11	14.921772
